tract_fips,error
17031271200,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
17031821500,"HTTPConnectionPool(host='overpass-api.de', port=80): Read timed out. (read timeout=10)"
17031600400,"HTTPConnectionPool(host='overpass-api.de', port=80): Read timed out. (read timeout=10)"
17031252000,"HTTPConnectionPool(host='overpass-api.de', port=80): Read timed out. (read timeout=10)"
17031831400,"HTTPConnectionPool(host='overpass-api.de', port=80): Read timed out. (read timeout=10)"
17031671400,"HTTPConnectionPool(host='overpass-api.de', port=80): Read timed out. (read timeout=10)"
17031420100,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
17031680900,"HTTPConnectionPool(host='overpass-api.de', port=80): Read timed out. (read timeout=10)"
17031461000,"HTTPConnectionPool(host='overpass-api.de', port=80): Read timed out. (read timeout=10)"
17031836900,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
17031271300,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
17031827100,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
17031827300,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
17031681100,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
17031829000,"HTTPConnectionPool(host='overpass-api.de', port=80): Read timed out. (read timeout=10)"
17031490700,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
17031251000,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
17031351100,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
17031440300,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
17031420800,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
17031829700,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
17031670800,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
17031431400,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
17031252102,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
17031690900,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
17031292500,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
17031710300,429 Client Error: Too Many Requests for url: http://overpass-api.de/api/interpreter
17031841800,"HTTPConnectionPool(host='overpass-api.de', port=80): Read timed out. (read timeout=10)"
17031491400,"HTTPConnectionPool(host='overpass-api.de', port=80): Read timed out. (read timeout=10)"
