vacancy_band,dominant_race,high_risk_rate,disparate_impact_ratio
high_vacancy,asian,0.6470588235294118,1.0
high_vacancy,black,0.06802721088435375,0.10513296227581942
high_vacancy,hispanic,0.13596491228070176,0.21012759170653908
high_vacancy,mixed,0.31176470588235294,0.4818181818181818
high_vacancy,white,0.42890995260663506,0.6628608358466178
low_vacancy,asian,0.847457627118644,1.0
low_vacancy,black,0.4603174603174603,0.5431746031746032
low_vacancy,hispanic,0.4107744107744108,0.48471380471380476
low_vacancy,mixed,0.5279503105590062,0.6229813664596273
low_vacancy,white,0.8281622911694511,0.9772315035799523
