city,dominant_race,mean_score,city_mean,city_demographic_parity_gap
Chicago,white,7.548387096774194,7.05,0.4983870967741941
Chicago,mixed,7.0,7.05,-0.04999999999999982
Chicago,hispanic,6.9375,7.05,-0.11249999999999982
Chicago,black,6.30188679245283,7.05,-0.7481132075471697
Dallas,white,7.294117647058823,6.92,0.37411764705882344
Dallas,mixed,6.761904761904762,6.92,-0.15809523809523807
Dallas,hispanic,6.67741935483871,6.92,-0.24258064516128997
Dallas,black,6.583333333333333,6.92,-0.3366666666666669
Houston,white,7.382352941176471,6.84,0.5423529411764711
Houston,mixed,6.857142857142857,6.84,0.017142857142856904
Houston,hispanic,6.472222222222222,6.84,-0.36777777777777754
Houston,black,6.235294117647059,6.84,-0.604705882352941
Los Angeles,white,7.3559322033898304,6.98,0.37593220338983
Los Angeles,asian,7.090909090909091,6.98,0.1109090909090904
Los Angeles,mixed,6.882352941176471,6.98,-0.09764705882352942
Los Angeles,hispanic,6.760869565217392,6.98,-0.21913043478260885
New York,white,6.794117647058823,6.6,0.19411764705882373
New York,black,6.769230769230769,6.6,0.16923076923076952
New York,asian,6.5,6.6,-0.09999999999999964
New York,mixed,6.5,6.6,-0.09999999999999964
New York,hispanic,6.216216216216216,6.6,-0.38378378378378386
Philadelphia,white,7.064935064935065,6.5,0.5649350649350646
Philadelphia,mixed,6.2105263157894735,6.5,-0.28947368421052655
Philadelphia,black,6.136986301369863,6.5,-0.3630136986301373
Philadelphia,hispanic,6.0,6.5,-0.5
Phoenix,white,7.032679738562091,6.82,0.2126797385620911
Phoenix,mixed,6.181818181818182,6.82,-0.6381818181818186
Phoenix,hispanic,6.111111111111111,6.82,-0.7088888888888896
San Antonio,white,7.2368421052631575,6.69,0.5468421052631571
San Antonio,hispanic,6.357142857142857,6.69,-0.33285714285714363
San Antonio,mixed,6.333333333333333,6.69,-0.35666666666666735
San Diego,white,7.307086614173229,7.18,0.12708661417322897
San Diego,mixed,7.142857142857143,7.18,-0.03714285714285648
San Diego,hispanic,6.780487804878049,7.18,-0.39951219512195113
San Jose,asian,7.898305084745763,7.72,0.17830508474576323
San Jose,white,7.846153846153846,7.72,0.12615384615384606
San Jose,hispanic,7.586206896551724,7.72,-0.13379310344827555
San Jose,mixed,7.5,7.72,-0.21999999999999975
