dominant_race,keyword,count
asian,danger,0
black,danger,0
hispanic,danger,0
mixed,danger,0
white,danger,0
asian,unsafe,0
black,unsafe,0
hispanic,unsafe,0
mixed,unsafe,0
white,unsafe,0
asian,crime,14
black,crime,127
hispanic,crime,124
mixed,crime,43
white,crime,373
asian,risk,10
black,risk,83
hispanic,risk,41
mixed,risk,8
white,risk,99
asian,violence,0
black,violence,0
hispanic,violence,0
mixed,violence,0
white,violence,0
asian,fear,0
black,fear,0
hispanic,fear,0
mixed,fear,0
white,fear,0
asian,theft,0
black,theft,0
hispanic,theft,0
mixed,theft,0
white,theft,0
asian,robbery,0
black,robbery,0
hispanic,robbery,0
mixed,robbery,0
white,robbery,0
asian,assault,0
black,assault,0
hispanic,assault,0
mixed,assault,0
white,assault,0
